設置點,Hour,populartimes_count
?男子漢鐵板料理,0,0
?男子漢鐵板料理,1,0
?男子漢鐵板料理,2,0
?男子漢鐵板料理,3,0
?男子漢鐵板料理,4,0
?男子漢鐵板料理,5,0
?男子漢鐵板料理,6,0
?男子漢鐵板料理,7,0
?男子漢鐵板料理,8,0
?男子漢鐵板料理,9,0
?男子漢鐵板料理,10,0
?男子漢鐵板料理,11,0
?男子漢鐵板料理,12,0
?男子漢鐵板料理,13,0
?男子漢鐵板料理,14,0
?男子漢鐵板料理,15,0
?男子漢鐵板料理,16,0
?男子漢鐵板料理,17,0
?男子漢鐵板料理,18,0
?男子漢鐵板料理,19,0
?男子漢鐵板料理,20,0
?男子漢鐵板料理,21,0
?男子漢鐵板料理,22,0
?男子漢鐵板料理,23,0
O le pain 喔！麵包,0,0
O le pain 喔！麵包,1,0
O le pain 喔！麵包,2,0
O le pain 喔！麵包,3,0
O le pain 喔！麵包,4,0
O le pain 喔！麵包,5,0
O le pain 喔！麵包,6,0
O le pain 喔！麵包,7,0
O le pain 喔！麵包,8,0
O le pain 喔！麵包,9,0
O le pain 喔！麵包,10,0
O le pain 喔！麵包,11,15
O le pain 喔！麵包,12,29
O le pain 喔！麵包,13,35
O le pain 喔！麵包,14,40
O le pain 喔！麵包,15,52
O le pain 喔！麵包,16,77
O le pain 喔！麵包,17,87
O le pain 喔！麵包,18,92
O le pain 喔！麵包,19,70
O le pain 喔！麵包,20,45
O le pain 喔！麵包,21,0
O le pain 喔！麵包,22,0
O le pain 喔！麵包,23,0
ㄇㄇ的臭豆腐,0,0
ㄇㄇ的臭豆腐,1,0
ㄇㄇ的臭豆腐,2,0
ㄇㄇ的臭豆腐,3,0
ㄇㄇ的臭豆腐,4,0
ㄇㄇ的臭豆腐,5,0
ㄇㄇ的臭豆腐,6,0
ㄇㄇ的臭豆腐,7,0
ㄇㄇ的臭豆腐,8,0
ㄇㄇ的臭豆腐,9,0
ㄇㄇ的臭豆腐,10,0
ㄇㄇ的臭豆腐,11,62
ㄇㄇ的臭豆腐,12,66
ㄇㄇ的臭豆腐,13,54
ㄇㄇ的臭豆腐,14,0
ㄇㄇ的臭豆腐,15,49
ㄇㄇ的臭豆腐,16,60
ㄇㄇ的臭豆腐,17,50
ㄇㄇ的臭豆腐,18,45
ㄇㄇ的臭豆腐,19,0
ㄇㄇ的臭豆腐,20,0
ㄇㄇ的臭豆腐,21,0
ㄇㄇ的臭豆腐,22,0
ㄇㄇ的臭豆腐,23,0
二崁杏仁茶館,0,0
二崁杏仁茶館,1,0
二崁杏仁茶館,2,0
二崁杏仁茶館,3,0
二崁杏仁茶館,4,0
二崁杏仁茶館,5,0
二崁杏仁茶館,6,0
二崁杏仁茶館,7,0
二崁杏仁茶館,8,0
二崁杏仁茶館,9,30
二崁杏仁茶館,10,30
二崁杏仁茶館,11,55
二崁杏仁茶館,12,75
二崁杏仁茶館,13,100
二崁杏仁茶館,14,75
二崁杏仁茶館,15,60
二崁杏仁茶館,16,35
二崁杏仁茶館,17,30
二崁杏仁茶館,18,0
二崁杏仁茶館,19,0
二崁杏仁茶館,20,0
二崁杏仁茶館,21,0
二崁杏仁茶館,22,0
二崁杏仁茶館,23,0
二崁聚落站,0,1
二崁聚落站,1,1
二崁聚落站,2,1
二崁聚落站,3,0
二崁聚落站,4,1
二崁聚落站,5,1
二崁聚落站,6,1
二崁聚落站,7,1
二崁聚落站,8,5
二崁聚落站,9,13
二崁聚落站,10,29
二崁聚落站,11,46
二崁聚落站,12,62
二崁聚落站,13,74
二崁聚落站,14,75
二崁聚落站,15,60
二崁聚落站,16,38
二崁聚落站,17,19
二崁聚落站,18,8
二崁聚落站,19,3
二崁聚落站,20,2
二崁聚落站,21,2
二崁聚落站,22,1
二崁聚落站,23,2
佳朋名產總匯,0,0
佳朋名產總匯,1,0
